epoch=1,train_loss=10.129148,train_acc=0.820987,val_loss=0.553575,val_acc=0.916617,lr=3.000000e-04,time_sec=1388.78
epoch=2,train_loss=0.758140,train_acc=0.818512,val_loss=0.520247,val_acc=0.916617,lr=3.000000e-04,time_sec=1333.84
epoch=3,train_loss=0.772407,train_acc=0.817852,val_loss=0.581367,val_acc=0.916617,lr=3.000000e-04,time_sec=1318.79
epoch=4,train_loss=0.743047,train_acc=0.820492,val_loss=0.652710,val_acc=0.916617,lr=3.000000e-04,time_sec=1302.59
epoch=5,train_loss=0.773546,train_acc=0.821317,val_loss=0.564484,val_acc=0.916617,lr=3.000000e-04,time_sec=1314.74
epoch=1,train_loss=0.528053,train_acc=0.505032,val_loss=0.463566,val_acc=0.083383,lr=3.000000e-04,loc_w=1.00,time=1383.1
epoch=2,train_loss=0.462746,train_acc=0.494473,val_loss=0.481757,val_acc=0.083383,lr=3.000000e-04,loc_w=0.85,time=1329.4
epoch=3,train_loss=0.420768,train_acc=0.501897,val_loss=0.439439,val_acc=0.083383,lr=3.000000e-04,loc_w=0.70,time=1327.3
epoch=4,train_loss=nan,train_acc=0.507507,val_loss=nan,val_acc=0.083383,lr=3.000000e-04,loc_w=0.55,time=1298.6
epoch=5,train_loss=nan,train_acc=0.502227,val_loss=nan,val_acc=0.083383,lr=3.000000e-04,loc_w=0.40,time=1298.7
epoch=1,train_loss=0.519339,train_acc=0.499258,val_loss=0.481691,val_acc=0.083383,lr=3.000000e-04,loc_w=1.00,time=1387.8
epoch=2,train_loss=0.461519,train_acc=0.494143,val_loss=0.446141,val_acc=0.083383,lr=3.000000e-04,loc_w=0.85,time=1404.9
epoch=3,train_loss=0.419892,train_acc=0.507837,val_loss=0.391700,val_acc=0.083383,lr=3.000000e-04,loc_w=0.70,time=1449.5
epoch=4,train_loss=nan,train_acc=0.493978,val_loss=nan,val_acc=0.083383,lr=3.000000e-04,loc_w=0.55,time=1464.6
epoch=5,train_loss=nan,train_acc=0.501402,val_loss=nan,val_acc=0.083383,lr=3.000000e-04,loc_w=0.40,time=1330.0
epoch=6,train_loss=nan,train_acc=0.498598,val_loss=nan,val_acc=0.083383,lr=3.000000e-04,loc_w=0.30,time=1353.9
epoch=7,train_loss=nan,train_acc=0.497938,val_loss=nan,val_acc=0.083383,lr=1.500000e-04,loc_w=0.30,time=1343.3
epoch=8,train_loss=nan,train_acc=0.490018,val_loss=nan,val_acc=0.083383,lr=1.500000e-04,loc_w=0.30,time=1331.6
epoch=1,train_loss=1.595812,train_acc=0.506022,val_loss=1.090005,val_acc=0.916617,lr=3.000000e-04,loc_w=1.00,time=1458.4
epoch=2,train_loss=1.550838,train_acc=0.495958,val_loss=0.974189,val_acc=0.916617,lr=3.000000e-04,loc_w=0.85,time=1456.8
epoch=3,train_loss=1.482335,train_acc=0.498103,val_loss=1.163472,val_acc=0.916617,lr=3.000000e-04,loc_w=0.70,time=1459.4
epoch=4,train_loss=1.454163,train_acc=0.510807,val_loss=1.007278,val_acc=0.916617,lr=3.000000e-04,loc_w=0.55,time=1468.3
epoch=5,train_loss=1.445511,train_acc=0.489688,val_loss=1.189027,val_acc=0.916617,lr=3.000000e-04,loc_w=0.40,time=1456.1
epoch=6,train_loss=1.407986,train_acc=0.509487,val_loss=0.972263,val_acc=0.916617,lr=3.000000e-04,loc_w=0.30,time=1463.5
epoch=7,train_loss=1.424228,train_acc=0.498928,val_loss=1.009151,val_acc=0.916617,lr=3.000000e-04,loc_w=0.30,time=1464.7
epoch=8,train_loss=1.414398,train_acc=0.505857,val_loss=1.026988,val_acc=0.916617,lr=3.000000e-04,loc_w=0.30,time=1464.5
epoch=9,train_loss=1.414473,train_acc=0.496948,val_loss=1.145528,val_acc=0.916617,lr=3.000000e-04,loc_w=0.30,time=1464.2
